"status","http_status","venues__menus__menu_name","venues__menus__sections__subsections__subsection_name","venues__menus__sections__subsections__contents__text","venues__menus__sections__subsections__contents__type","venues__menus__sections__section_name","venues__menus__currency_symbol","venues__locu_id","venues__contact__phone","venues__name","venues__location__postal_code","venues__location__locality","venues__location__address1","venues__location__region","venues__location__country","venues__location__geo__type","venues__location__geo__coordinates001","venues__location__geo__coordinates002","venues__menus__sections__subsections__contents__price","venues__menus__sections__subsections__contents__name","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name","venues__menus__sections__subsections__contents__|__options__price"
"success","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","SECTION_TEXT","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","venues__menus__sections__subsections__contents__price","venues__menus__sections__subsections__contents__name","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","7.00","Truffled Butter","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","6.00","Marinated Olives","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","6.00","White Anchovies and Fennel-Orange Salad","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","6.00","House-Made Fresh Ricotta, Evoo and Lemon Zest","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Piattini‏","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","8.00","Salt Cod Arancini with Heirloom Tomato Sauce","venues__menus__sections__subsections__contents__description","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Appetizers","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","12.00","Calamari","Semolina coated, sweet & spicy tomato chutney pickled chilies and lemon aioli","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Appetizers","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","15.00","Lobster Risotto","White asparagus, leeks, lobster reduction and truffled frisee","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Appetizers","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","12.00","House Cured Duck Prosciutto","Foie gras creme brulee, quince gelee and toasted brioche","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
"","200","A La Carte","venues__menus__sections__subsections__subsection_name","Designed to pair perfectly with our house made focaccia bread.","ITEM","Appetizers","$","00a5e98b8536c95f37ae","(781) 395-7464","Bistro 5","02155","Medford","5 Playstead Rd.","MA","United States","Point","-71.132524","42.421375","11.00","Watercress Soup","Pistachio aillade and spiced créme fraîche","venues__menus__sections__subsections__contents__|","venues__menus__sections__subsections__contents__|__text","venues__menus__sections__subsections__contents__|__type","venues__menus__sections__subsections__contents__|__options__name",""
